locations,lat,lng
,46.3144754,11.0480288
"Austin, TX",30.2711286,-97.7436995
"Brooklyn, NY",40.6526006,-73.9497211
"Pennsylvania, USA",40.9699889,-77.7278831
"Guwahati, India",26.1805978,91.753943
"Glasgow, Scotland",55.8609825,-4.2488787
"Galway, Ireland",53.2744122,-9.0490601
"Pinellas Park, FL",27.8599115,-82.7043783401824
"North Region, Singapore",16.8381964,96.2328224
"Calumet City, IL",41.616016,-87.5295837
"Silver Spring, MD",38.9997621,-77.02403709829767
"Phoenix, AZ",33.4484367,-112.0741417
"Colorado, USA",38.7251776,-105.607716
"Sparks, NV",39.5404679,-119.7487235
"Nevada, USA",39.5158825,-116.8537227
"Hayathnagar, India",17.3281147,78.6045399
"Chirala, India",15.835955,80.36844960883951
"Tacloban City, Eastern Visayas",11.2427992,124.9993376
"Dunwoody, GA",33.9463786,-84.3342686
"East Point, GA",33.6795531,-84.4393724
"Zanesville, OH",39.9403453,-82.0131924
"Mandaue City, Central Visayas",10.3386873,123.954666
"Davao City, Davao Region",7.0645451,125.6084371
"Dasmarinas, Calabarzon",14.3270819,120.9370871
"Pasay City, National Capital Region",14.5538309,120.99354847792208
"Olongapo City, Central Luzon",15.0489211,120.6992861
"Salfords, South East",51.2049384,-0.1646091
Israel,31.5313113,34.8667654
"Cagayan De Oro City, Northern Mindanao",8.4561687,124.6246496
"Golborne, England",53.4756118,-2.5994277
"Rietberg, Deutschland",51.8074106,8.4286614
"Rajendra Nagar, India",25.6030053,85.1623397
"Worcester, England",52.1911849,-2.2206585
"Ajman, United Arab Emirates",25.4034759,55.52599735936728
"Buffalo, NY",42.8867166,-78.8783922
"Hyderabad, India",17.360589,78.4740613
"New York, USA",40.7127281,-74.0060152
"Faversham, England",51.3144088,0.8911894
"Arkansas, USA",35.2048883,-92.4479108
"Dallas, TX",32.7762719,-96.7968559
Republic of the Philippines,12.7503486,122.7312101
"Mandaluyong City, National Capital Region",14.5770506,121.02595676280009
"Tanza, Calabarzon",14.4006617,120.8572822
"Pittsburgh, PA",40.4416941,-79.9900861
"Catalina Foothills, AZ",32.3029775,-110.89058544803774
"Andhra Pradesh, India",15.9240905,80.1863809
"Alabama, USA",33.2588817,-86.8295337
"Manhattan, NY",40.7896239,-73.9598939
"West Midlands, England",52.5050033,-1.964396123331272
"Hillsboro, OR",45.5228939,-122.989827
"Queens, NY",40.7135078,-73.8283132
"Warsaw, Poland",52.2319581,21.0067249
"Vellakoil, India",10.9569141,77.7160216
