tweet_places,full_name
NA,NA
"Austin, TX","Austin, TX"
"Brooklyn, NY","Brooklyn, NY"
NA,NA
NA,NA
"Pennsylvania, USA","Pennsylvania, USA"
NA,NA
NA,NA
NA,NA
"Guwahati, India","Guwahati, India"
NA,NA
"Glasgow, Scotland","Glasgow, Scotland"
"Galway, Ireland","Galway, Ireland"
NA,NA
"Pinellas Park, FL","Pinellas Park, FL"
NA,NA
"Pinellas Park, FL","Pinellas Park, FL"
NA,NA
"North Region, Singapore","North Region, Singapore"
NA,NA
"Calumet City, IL","Calumet City, IL"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Silver Spring, MD","Silver Spring, MD"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Phoenix, AZ","Phoenix, AZ"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Colorado, USA","Colorado, USA"
NA,NA
NA,NA
"Sparks, NV","Sparks, NV"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Nevada, USA","Nevada, USA"
NA,NA
"Phoenix, AZ","Phoenix, AZ"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Hayathnagar, India","Hayathnagar, India"
NA,NA
NA,NA
NA,NA
"Chirala, India","Chirala, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Brooklyn, NY","Brooklyn, NY"
"Tacloban City, Eastern Visayas","Tacloban City, Eastern Visayas"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Dunwoody, GA","Dunwoody, GA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"East Point, GA","East Point, GA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Zanesville, OH","Zanesville, OH"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Mandaue City, Central Visayas","Mandaue City, Central Visayas"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Davao City, Davao Region","Davao City, Davao Region"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Dasmarinas, Calabarzon","Dasmarinas, Calabarzon"
"Pasay City, National Capital Region","Pasay City, National Capital Region"
"Olongapo City, Central Luzon","Olongapo City, Central Luzon"
"Salfords, South East","Salfords, South East"
"Tacloban City, Eastern Visayas","Tacloban City, Eastern Visayas"
"Central Region, Singapore","Central Region, Singapore"
Israel,Israel
"Cagayan De Oro City, Northern Mindanao","Cagayan De Oro City, Northern Mindanao"
NA,NA
NA,NA
NA,NA
"Golborne, England","Golborne, England"
NA,NA
NA,NA
"Rietberg, Deutschland","Rietberg, Deutschland"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Rajendra Nagar, India","Rajendra Nagar, India"
NA,NA
NA,NA
NA,NA
"Worcester, England","Worcester, England"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Ajman, United Arab Emirates","Ajman, United Arab Emirates"
NA,NA
NA,NA
"Buffalo, NY","Buffalo, NY"
NA,NA
NA,NA
NA,NA
"Hyderabad, India","Hyderabad, India"
NA,NA
NA,NA
"New York, USA","New York, USA"
NA,NA
NA,NA
NA,NA
NA,NA
Israel,Israel
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Faversham, England","Faversham, England"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Arkansas, USA","Arkansas, USA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Dallas, TX","Dallas, TX"
Republic of the Philippines,Republic of the Philippines
"Mandaluyong City, National Capital Region","Mandaluyong City, National Capital Region"
"Tanza, Calabarzon","Tanza, Calabarzon"
"Pittsburgh, PA","Pittsburgh, PA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Catalina Foothills, AZ","Catalina Foothills, AZ"
"Andhra Pradesh, India","Andhra Pradesh, India"
"Dallas, TX","Dallas, TX"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Alabama, USA","Alabama, USA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Alabama, USA","Alabama, USA"
"Manhattan, NY","Manhattan, NY"
"Alabama, USA","Alabama, USA"
"Alabama, USA","Alabama, USA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"West Midlands, England","West Midlands, England"
NA,NA
NA,NA
NA,NA
"Hillsboro, OR","Hillsboro, OR"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Queens, NY","Queens, NY"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Davao City, Davao Region","Davao City, Davao Region"
NA,NA
"Warsaw, Poland","Warsaw, Poland"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Vellakoil, India","Vellakoil, India"
NA,NA
NA,NA
"Victoria, British Columbia","Victoria, British Columbia"
NA,NA
"North Auburn, CA","North Auburn, CA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
